PartNumber,Site,Activity,Supplier,LeadTime,MaxLeadTime,SupplierCount,SingleSource,Approved,Notes
PHOTOMASK-IOT,FAB-US,Buy,TOPPAN,25,28,2,False,,
PHOTORESIST,FAB-TW,Buy,TOK,14,16,2,False,,
PHOTORESIST,FAB-TW,Buy,JSR-MICRO,16,16,2,False,,
PHOTORESIST,FAB-US,Buy,TOK,14,16,2,False,,
PHOTORESIST,FAB-US,Buy,JSR-MICRO,16,16,2,False,,
PROBE-CARD-28NM,FAB-US,Buy,FORMFACTOR,25,28,2,False,,
PROBE-CARD-28NM,FAB-US,Buy,TECHNOPROBE,28,28,2,False,,
PROBE-CARD-7NM,FAB-TW,Buy,FORMFACTOR,35,40,3,False,,
PROBE-CARD-7NM,FAB-TW,Buy,TECHNOPROBE,40,40,3,False,,
PROBE-CARD-7NM,FAB-TW,Buy,MPI-CORP,38,40,3,False,,
QFN-LEADFRAME,OSAT-CN,Buy,MITSUI-HIGH,12,12,1,True,,
SILICON-INGOT,FAB-TW,Buy,SUMCO,30,35,3,False,,
SILICON-INGOT,FAB-TW,Buy,SHIN-ETSU,28,35,3,False,,
SILICON-INGOT,FAB-TW,Buy,SILTRONIC,35,35,3,False,,
SILICON-INGOT,FAB-US,Buy,SUMCO,30,35,3,False,,
SILICON-INGOT,FAB-US,Buy,SHIN-ETSU,28,35,3,False,,
SILICON-INGOT,FAB-US,Buy,SILTRONIC,35,35,3,False,,
SIP-SUBSTRATE,OSAT-MY,Buy,UNIMICRON,28,28,1,True,,
SOLDER-BUMP,BUMP-TW,Buy,SENJU-METAL,8,10,2,False,,
SOLDER-BUMP,BUMP-TW,Buy,INDIUM-CORP,10,10,2,False,,
TEST-SOCKET-ADV,FT-SG,Buy,YAMAICHI,18,22,3,False,,
TEST-SOCKET-ADV,FT-SG,Buy,SENSATA,22,22,3,False,,
TEST-SOCKET-ADV,FT-SG,Buy,SMITHS-CONN,20,22,3,False,,
TEST-SOCKET-STD,FT-SG,Buy,YAMAICHI,12,15,2,False,,
TEST-SOCKET-STD,FT-SG,Buy,WELLS-CTI,15,15,2,False,,
TESTED-DIE-28NM,FAB-US,Make,,0,0,0,False,,
TESTED-DIE-28NM,OSAT-CN,Transfer,,0,0,0,False,,
TESTED-DIE-7NM,BUMP-TW,Transfer,,0,0,0,False,,
TESTED-DIE-7NM,FAB-TW,Make,,0,0,0,False,,
TESTED-DIE-GPU,BUMP-TW,Transfer,,0,0,0,False,,
TESTED-DIE-GPU,FAB-TW,Make,,0,0,0,False,,
TESTED-DIE-IOT,FAB-US,Make,,0,0,0,False,,
TESTED-DIE-IOT,OSAT-CN,Transfer,,0,0,0,False,,
UNDERFILL,OSAT-MY,Buy,NAMICS,7,7,1,True,,
WAFER-28NM,FAB-US,Make,,0,0,0,False,,
WAFER-7NM,FAB-TW,Make,,0,0,0,False,,
WAFER-GPU,FAB-TW,Make,,0,0,0,False,,
WAFER-IOT,FAB-US,Make,,0,0,0,False,,
